PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41988492","Access to movement disorders care and advanced surgical therapies in a tertiary care center","Alderete JA, Madera A, Markovic D, Rifi Z, Harary M, Fu KA, Cross KA, Bari AA, Mendizabal A.","Front Neurol. 2026 Mar 31;17:1743834. doi: 10.3389/fneur.2026.1743834. eCollection 2026.","Alderete JA","Front Neurol","2026","2026/04/16","PMC13076168","","10.3389/fneur.2026.1743834"
"41988188","Thymidine phosphorylase promotes SARS-CoV-2 spike protein-driven lung tumor development","Wallace C, Gileles-Hillel A, Cox A, Gozal D, Li W, Yue H.","Front Immunol. 2026 Mar 31;17:1798566. doi: 10.3389/fimmu.2026.1798566. eCollection 2026.","Wallace C","Front Immunol","2026","2026/04/16","PMC13076350","","10.3389/fimmu.2026.1798566"
"41982720","Novel Compounds for Treating Huntington's Disease","Sabnis RW, Sabnis AR.","ACS Med Chem Lett. 2026 Mar 4;17(4):792-793. doi: 10.1021/acsmedchemlett.6c00110. eCollection 2026 Apr 9.","Sabnis RW","ACS Med Chem Lett","2026","2026/04/15","PMC13071611","","10.1021/acsmedchemlett.6c00110"
"41982421","Ketamine as a potential cognitive enhancer in neurological disorders: evidence from preclinical and clinical studies","Leon-Rojas JE, Mascialino G, Vinueza Mera L, Hinojosa-Figueroa MS, Navas Arias CF, Cadena Barberis ED, Sacks-Zimmerman A.","Front Neurol. 2026 Mar 30;17:1786249. doi: 10.3389/fneur.2026.1786249. eCollection 2026.","Leon-Rojas JE","Front Neurol","2026","2026/04/15","PMC13070833","","10.3389/fneur.2026.1786249"
"41977320","Polyfunctionalized N-Arylsulfonyl Indoles: Identification of (E)-N-Hydroxy-3-{3-[(5-(3-(piperidin-1-yl)propoxy]-1H-indol-1-yl)sulfonyl]phenyl}acrylamide (MTP150) for the Epigenetic-Based Therapy of Parkinson's Disease","Toledano-Pinedo M, Porro-Pérez A, Schäker-Hübner L, Diez-Iriepa D, Iriepa I, Siwek A, Wolak M, Satała G, Bojarski AJ, Doroz-Płonka A, Handzlik J, Godyń J, Dallemagne P, Rochais C, Davis A, Since M, Pérez B, Bellver-Sanchis A, Irisarri A, Pallàs M, Solana-Manrique C, López-Muñoz F, Ismaili L, Griñán-Ferré C, Paricio N, K Hansen F, Więckowska A, Marco-Contelles J.","Int J Mol Sci. 2026 Mar 30;27(7):3135. doi: 10.3390/ijms27073135.","Toledano-Pinedo M","Int J Mol Sci","2026","2026/04/14","PMC13073873","","10.3390/ijms27073135"
"41976320","Chemoprevention of 4-NQO-Induced Oral Cancer by the Combination of Resveratrol and EGCG: In Vivo, In Silico and In Vitro Studies","Adeluola A, Raji LM, Sigdel S, Anisuzzaman ASM, Hossain MS, Amin ARMR.","Cancers (Basel). 2026 Mar 28;18(7):1098. doi: 10.3390/cancers18071098.","Adeluola A","Cancers (Basel)","2026","2026/04/14","PMC13072290","","10.3390/cancers18071098"
"41972286","Fungating Mass of the Glans Penis: A Case Report and Discussion on Penile Squamous Cell Carcinoma","Collins DM, Simpkins AM, Diks J, Robertson D.","J Investig Med High Impact Case Rep. 2026 Jan-Dec;14:23247096251381563. doi: 10.1177/23247096251381563. Epub 2026 Apr 13.","Collins DM","J Investig Med High Impact Case Rep","2026","2026/04/13","PMC13080190","","10.1177/23247096251381563"
"41971225","Symptom Structure of Depression and Anxiety in Mothers Following Child Loss: A Network and Bayesian Graph Analysis","Al-Mamun F, Mamun MA, Almerab MM, Holroyd S, Gozal D, Muhit M.","Depress Anxiety. 2026 Apr 9;2026:9965609. doi: 10.1155/da/9965609. eCollection 2026.","Al-Mamun F","Depress Anxiety","2026","2026/04/13","PMC13062755","","10.1155/da/9965609"
"41961860","Pain processing and pain assessment in Huntington's disease: Study protocol of the Huntington's disease - PAIN study","Sprenger GP, van Velzen M, Achterberg WP, Roos RAC, de Bot ST.","PLoS One. 2026 Apr 10;21(4):e0346039. doi: 10.1371/journal.pone.0346039. eCollection 2026.","Sprenger GP","PLoS One","2026","2026/04/10","PMC13068213","","10.1371/journal.pone.0346039"
"41959838","Lattice-shaped catheter ablation for incessant inducible AVNRT in patient undergoing atrial fibrillation ablation: a case report","Alzubi A, Shelig M, Alhadi A, Elghul AM, Abozguia K.","Eur Heart J Case Rep. 2026 Mar 18;10(4):ytag221. doi: 10.1093/ehjcr/ytag221. eCollection 2026 Apr.","Alzubi A","Eur Heart J Case Rep","2026","2026/04/10","PMC13061531","","10.1093/ehjcr/ytag221"
